run,netem,netem_spec,variant,program,program_bytes,outcome,metric,us,count
0,d25_l1,delay 25ms loss random 1%,baseline,jupiter-v6,2892224,success,wall,22206439,0
0,d25_l1,delay 25ms loss random 1%,baseline,jupiter-v6,2892224,success,client_setup,301184,0
0,d25_l1,delay 25ms loss random 1%,baseline,jupiter-v6,2892224,success,first_send,101335,0
0,d25_l1,delay 25ms loss random 1%,baseline,jupiter-v6,2892224,success,send_phase,18652227,1866
0,d25_l1,delay 25ms loss random 1%,baseline,jupiter-v6,2892224,success,resend_rounds,9,91
0,d25_l1,delay 25ms loss random 1%,baseline,jupiter-v6,2892224,success,resent_txs,155,0
0,d25_l1,delay 25ms loss random 1%,baseline,jupiter-v6,2892224,success,resend_time,1468486,0
0,d25_l1,delay 25ms loss random 1%,baseline,jupiter-v6,2892224,success,confirm_phase,1468641,0
0,d25_l1,delay 25ms loss random 1%,baseline,jupiter-v6,2892224,success,write_chunks,20277105,1866
0,d25_l1,delay 25ms loss random 1%,baseline,jupiter-v6,2892224,success,final_tx,809623,0
0,d25_l1,delay 25ms loss random 1%,baseline,jupiter-v6,2892224,success,total_deploy,21891412,2892224
0,d25_l1,delay 25ms loss random 1%,tpu_next,jupiter-v6,2892224,success,wall,22444121,0
0,d25_l1,delay 25ms loss random 1%,tpu_next,jupiter-v6,2892224,success,client_setup,200772,0
0,d25_l1,delay 25ms loss random 1%,tpu_next,jupiter-v6,2892224,success,first_send,4,0
0,d25_l1,delay 25ms loss random 1%,tpu_next,jupiter-v6,2892224,success,send_phase,18651794,1866
0,d25_l1,delay 25ms loss random 1%,tpu_next,jupiter-v6,2892224,success,resend_rounds,1,92
0,d25_l1,delay 25ms loss random 1%,tpu_next,jupiter-v6,2892224,success,resent_txs,92,0
0,d25_l1,delay 25ms loss random 1%,tpu_next,jupiter-v6,2892224,success,resend_time,911230,0
0,d25_l1,delay 25ms loss random 1%,tpu_next,jupiter-v6,2892224,success,confirm_phase,911301,0
0,d25_l1,delay 25ms loss random 1%,tpu_next,jupiter-v6,2892224,success,write_chunks,19693303,1866
0,d25_l1,delay 25ms loss random 1%,tpu_next,jupiter-v6,2892224,success,quic_sent,1957,1866
0,d25_l1,delay 25ms loss random 1%,tpu_next,jupiter-v6,2892224,success,final_tx,809563,0
0,d25_l1,delay 25ms loss random 1%,tpu_next,jupiter-v6,2892224,success,total_deploy,22079211,2892224
0,d25_l1,delay 25ms loss random 1%,baseline,token-2022,1382016,success,wall,9113927,0
0,d25_l1,delay 25ms loss random 1%,baseline,token-2022,1382016,success,client_setup,300817,0
0,d25_l1,delay 25ms loss random 1%,baseline,token-2022,1382016,success,first_send,101272,0
0,d25_l1,delay 25ms loss random 1%,baseline,token-2022,1382016,success,send_phase,5001999,501
0,d25_l1,delay 25ms loss random 1%,baseline,token-2022,1382016,success,resend_rounds,202,85
0,d25_l1,delay 25ms loss random 1%,baseline,token-2022,1382016,success,resent_txs,286,0
0,d25_l1,delay 25ms loss random 1%,baseline,token-2022,1382016,success,resend_time,1420797,0
