run,netem,netem_spec,variant,program,program_bytes,outcome,metric,us,count
0,d100_l1,delay 100ms loss random 1%,tpu_next,jupiter-v6,2892224,success,confirm_phase,1182810,0
0,d100_l1,delay 100ms loss random 1%,tpu_next,jupiter-v6,2892224,success,write_chunks,20463072,1866
0,d100_l1,delay 100ms loss random 1%,tpu_next,jupiter-v6,2892224,success,quic_sent,1940,1866
0,d100_l1,delay 100ms loss random 1%,tpu_next,jupiter-v6,2892224,success,final_tx,1713093,0
0,d100_l1,delay 100ms loss random 1%,tpu_next,jupiter-v6,2892224,success,total_deploy,24983133,2892224
0,d100_l1,delay 100ms loss random 1%,baseline,token-2022,1382016,success,wall,13108514,0
0,d100_l1,delay 100ms loss random 1%,baseline,token-2022,1382016,success,client_setup,1201601,0
0,d100_l1,delay 100ms loss random 1%,baseline,token-2022,1382016,success,first_send,401326,0
0,d100_l1,delay 100ms loss random 1%,baseline,token-2022,1382016,success,send_phase,5001436,501
0,d100_l1,delay 100ms loss random 1%,baseline,token-2022,1382016,success,resend_rounds,1,137
0,d100_l1,delay 100ms loss random 1%,baseline,token-2022,1382016,success,resent_txs,137,0
0,d100_l1,delay 100ms loss random 1%,baseline,token-2022,1382016,success,resend_time,1361445,0
0,d100_l1,delay 100ms loss random 1%,baseline,token-2022,1382016,success,confirm_phase,1361515,0
0,d100_l1,delay 100ms loss random 1%,baseline,token-2022,1382016,success,write_chunks,6779095,501
0,d100_l1,delay 100ms loss random 1%,baseline,token-2022,1382016,success,final_tx,1707122,0
0,d100_l1,delay 100ms loss random 1%,baseline,token-2022,1382016,success,total_deploy,11692196,1382016
0,d100_l1,delay 100ms loss random 1%,tpu_next,token-2022,1382016,success,wall,12325431,0
0,d100_l1,delay 100ms loss random 1%,tpu_next,token-2022,1382016,success,client_setup,801324,0
0,d100_l1,delay 100ms loss random 1%,tpu_next,token-2022,1382016,success,first_send,3,0
0,d100_l1,delay 100ms loss random 1%,tpu_next,token-2022,1382016,success,send_phase,5001408,501
0,d100_l1,delay 100ms loss random 1%,tpu_next,token-2022,1382016,success,resend_rounds,1,120
0,d100_l1,delay 100ms loss random 1%,tpu_next,token-2022,1382016,success,resent_txs,120,0
0,d100_l1,delay 100ms loss random 1%,tpu_next,token-2022,1382016,success,resend_time,1190264,0
0,d100_l1,delay 100ms loss random 1%,tpu_next,token-2022,1382016,success,confirm_phase,1190332,0
0,d100_l1,delay 100ms loss random 1%,tpu_next,token-2022,1382016,success,write_chunks,6599954,501
0,d100_l1,delay 100ms loss random 1%,tpu_next,token-2022,1382016,success,quic_sent,620,501
0,d100_l1,delay 100ms loss random 1%,tpu_next,token-2022,1382016,success,final_tx,804444,0
0,d100_l1,delay 100ms loss random 1%,tpu_next,token-2022,1382016,success,total_deploy,11110759,1382016
